<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<CLOSE>,<VOLUME>
OTP,0,20140129,101020,4346,31
OTP,0,20140129,101020,4345,773
OTP,0,20140129,101020,4345,140
OTP,0,20140129,101053,4345,187
OTP,0,20140129,101053,4343,268
OTP,0,20140129,101053,4342,545
OTP,0,20140129,101103,4342,125
OTP,0,20140129,101130,4341,46
OTP,0,20140129,101131,4341,400
OTP,0,20140129,101207,4345,571
OTP,0,20140129,101216,4342,100
OTP,0,20140129,101219,4345,400
OTP,0,20140129,101229,4342,120
OTP,0,20140129,101242,4342,375
OTP,0,20140129,101242,4341,664
OTP,0,20140129,101242,4340,1336
OTP,0,20140129,101242,4340,365
OTP,0,20140129,101302,4340,99
OTP,0,20140129,101307,4339,576
OTP,0,20140129,101307,4338,424
OTP,0,20140129,101322,4338,33
OTP,0,20140129,101329,4339,50
OTP,0,20140129,101329,4338,1543
OTP,0,20140129,101347,4337,50
OTP,0,20140129,101357,4337,100
OTP,0,20140129,101402,4337,27
OTP,0,20140129,101402,4337,333
OTP,0,20140129,101402,4335,667
OTP,0,20140129,101419,4335,155
OTP,0,20140129,101434,4338,50
OTP,0,20140129,101436,4335,50
OTP,0,20140129,101514,4335,120
OTP,0,20140129,101521,4335,88
OTP,0,20140129,101524,4333,945
OTP,0,20140129,101528,4331,15
OTP,0,20140129,101530,4330,1451
OTP,0,20140129,101531,4329,500
OTP,0,20140129,101531,4326,44
OTP,0,20140129,101535,4326,444
OTP,0,20140129,101535,4330,203
OTP,0,20140129,101539,4326,2212
OTP,0,20140129,101539,4325,1010
OTP,0,20140129,101539,4321,30
OTP,0,20140129,101541,4321,953
OTP,0,20140129,101542,4325,21
OTP,0,20140129,101545,4321,567
OTP,0,20140129,101545,4320,1855
OTP,0,20140129,101548,4318,1100
OTP,0,20140129,101548,4317,1500
OTP,0,20140129,101552,4320,200
OTP,0,20140129,101556,4315,150
OTP,0,20140129,101556,4314,300
OTP,0,20140129,101556,4313,124
OTP,0,20140129,101556,4312,1426
OTP,0,20140129,101602,4318,50
OTP,0,20140129,101602,4313,100
OTP,0,20140129,101602,4312,4850
OTP,0,20140129,101608,4318,3000
OTP,0,20140129,101612,4315,289
OTP,0,20140129,101614,4315,211
OTP,0,20140129,101627,4313,100
OTP,0,20140129,101627,4312,400
OTP,0,20140129,101629,4312,124
OTP,0,20140129,101632,4315,1651
OTP,0,20140129,101632,4317,1349
OTP,0,20140129,101735,4312,2000
OTP,0,20140129,101739,4312,50
OTP,0,20140129,101741,4312,743
OTP,0,20140129,101743,4311,112
OTP,0,20140129,101743,4310,1085
OTP,0,20140129,101744,4310,608
OTP,0,20140129,101746,4309,242
OTP,0,20140129,101746,4306,758
OTP,0,20140129,101746,4306,113
OTP,0,20140129,101748,4310,200
OTP,0,20140129,101749,4310,195
OTP,0,20140129,101751,4310,1208
OTP,0,20140129,101752,4310,792
OTP,0,20140129,101831,4314,2000
OTP,0,20140129,101832,4314,99
OTP,0,20140129,101855,4314,500
OTP,0,20140129,101902,4314,401
OTP,0,20140129,101916,4315,200
OTP,0,20140129,101920,4315,2000
OTP,0,20140129,101926,4311,500
OTP,0,20140129,101926,4311,150
OTP,0,20140129,101930,4315,2000
OTP,0,20140129,102010,4319,73
OTP,0,20140129,102013,4319,1177
OTP,0,20140129,102038,4318,10
OTP,0,20140129,102043,4317,500
OTP,0,20140129,102044,4316,100
OTP,0,20140129,102045,4315,1250
OTP,0,20140129,102046,4315,200
OTP,0,20140129,102142,4314,45
OTP,0,20140129,102155,4314,500
OTP,0,20140129,102206,4314,200
OTP,0,20140129,102220,4314,525
OTP,0,20140129,102310,4314,1252
OTP,0,20140129,102310,4315,2000
OTP,0,20140129,102311,4315,1053
OTP,0,20140129,102311,4315,1549
OTP,0,20140129,102315,4315,290
OTP,0,20140129,102404,4320,8259
OTP,0,20140129,102407,4320,4849
OTP,0,20140129,102412,4320,1525
OTP,0,20140129,102415,4320,300
OTP,0,20140129,102415,4320,475
OTP,0,20140129,102417,4320,1000
OTP,0,20140129,102421,4320,3856
OTP,0,20140129,102425,4320,200
OTP,0,20140129,102428,4317,100
OTP,0,20140129,102430,4317,436
OTP,0,20140129,102430,4320,816
OTP,0,20140129,102433,4317,200
OTP,0,20140129,102436,4317,1000
OTP,0,20140129,102438,4317,584
OTP,0,20140129,102439,4317,4416
